site,year,subrur,easting,northing,temperature,housesparrow,starling
1,1,-1,280400,698600,1.95,0,0.25
2,9,-1,280400,698601,0.751666667,0.076923077,0.153846154
3,1,1,513000,252200,2.583333333,37.84615385,11.11538461
4,1,-1,259900,370300,4.751666667,10.84615385,12.07692308
5,1,1,524200,201100,2.665,43.34935898,23.6474359
6,1,-1,306600,92200,3.718333333,22.03846154,5.307692308
7,9,-1,306600,92201,2.918333333,0.115384616,1.846153846
8,1,1,429800,218300,2.633333333,9.769230768,13.80769231
9,1,-1,590400,166300,3.971666667,32.29166667,39.20833334
10,3,1,442300,115700,3.436666667,55.73076923,16.38461539
11,1,-1,541200,164200,2.813333333,22.23076923,3.692307693
12,11,-1,541200,164201,2.78,8.076923077,0.230769231
13,1,-1,467800,254200,2.065,11.93006993,5.727272728
14,1,-1,369200,82000,4.231666667,32.39423077,13.68910257
15,30,1,369200,82000,4.973333333,0,0.045454546
16,1,1,390500,173300,2.271666667,7.461538462,6.846153846
17,1,-1,381200,214100,3.381666667,12.80769231,28.15384615
18,1,1,432100,266500,2.56,30.57692308,20.38461539
19,1,1,461900,302100,2.563333333,18.92307692,47.84615385
20,1,-1,591200,248700,2.591666667,35.68181818,6.111888112
21,1,-1,607900,339000,2.923333333,28.96153846,19.6923077
22,1,1,500400,149500,2.706666667,12.46153846,7.615384615
23,1,1,574900,114300,3.645,16.1923077,11.11538462
24,1,-1,400900,162600,2.406666667,2.307692308,2.153846154
25,1,-1,246400,339400,5.006666667,20.52692308,6.161538462
26,1,-1,536600,208700,3.006666667,12.07692308,15.76923077
27,1,1,461000,303200,2.563333333,43.80769231,47.92307692
28,1,1,334700,730300,2.32,31.26923077,29.84615385
29,1,1,445100,216600,2.823333333,26.66666667,22.20833333
30,1,-1,480500,184100,2.08,35.84615385,9.769230771
31,1,-1,345100,153200,3.26,19.76282051,13.5224359
32,4,1,412800,437000,2.646666667,13.80769231,5.538461539
33,1,-1,482900,164400,2.441666667,11,3.423076924
34,1,1,235500,624900,3.53,31.26923077,27.6923077
35,1,1,564200,320500,3.043333333,7.538461539,19.61538462
36,1,-1,648800,274600,3.66,32.11538462,8.354700857
37,1,1,496800,143200,2.565,29.88461539,37.84615385
38,4,-1,367200,206900,3.128333333,6.84469697,2.761363637
39,1,1,520400,167900,3.805,6.73076923,8.006410257
40,1,1,462900,300200,2.563333333,13.35576923,9.19230769
41,1,-1,457100,81700,4.593333333,17.65384616,26.84615385
42,1,-1,362000,383600,3.298333333,12.69871795,7.375
43,1,-1,469900,198600,2.546666667,8.230769231,4.384615385
44,4,1,569500,114000,3.416666667,30.42307693,0.115384616
45,1,-1,454400,294900,2.445,15.24358974,17.2948718
46,7,-1,454400,294901,2.008333333,8.153846154,11.84615385
47,1,1,412900,279300,2.55,18.26923077,21.73076923
48,1,1,391100,803600,2.513333333,8.807692308,5.384615385
49,18,1,391100,803601,2.501666667,7.283216784,4.737762238
50,1,-1,386400,253200,3.135,29.45833333,12.54166667
51,1,1,368400,432600,2.911666667,12.65384616,13.92307693
52,1,-1,388200,197900,2.518333333,6.192307693,6.653846154
53,1,1,555900,187100,3.258333333,29.12820513,16.09935898
54,3,-1,411200,304200,2.621666667,35.61538462,12.76923077
55,1,-1,186500,56100,4.701666667,9.213675214,10.52564103
56,1,1,545200,260500,3.018333333,19.30769231,20.1923077
57,12,1,545200,260501,1.578333333,18.46153846,29.53846154
58,1,-1,492800,212500,2.463333333,7.125,29.75
59,1,1,497700,220400,2.62,10.69230769,4.538461538
60,1,-1,279100,380900,5.405,5.643939394,3.46969697
61,1,1,277400,381700,5.405,27.08791209,19.31318682
